Subscriber,tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,birth year,gender
1,563,105,42.3572185,-71.11387163,87,42.366621,-71.114214,4036,1988,2
1,1336,53,42.35082681,-71.08981088,97,42.36919032,-71.11714125,4995,1992,1
1,172,369,42.36254854,-71.05737358,151,42.358155,-71.052163,4771,1992,1
1,545,13,42.33639915,-71.07306711,46,42.34366582,-71.08582377,4955,1997,2
1,257,67,42.3581,-71.093198,179,42.35560121,-71.10394478,3888,1997,1
1,1447,239,42.39407224,-71.11133695,141,42.36356016,-71.08216792,2250,1978,2
1,684,51,42.33509899,-71.07903779,11,42.338629,-71.1065,3801,1992,1
1,1058,50,42.35114198,-71.07329249,163,42.344792,-71.044024,4518,1993,1
1,712,68,42.36507,-71.1031,185,42.36544486,-71.08277142,2842,1989,2
1,2119,415,42.34954403,-71.07242074,428,42.36178741,-71.14393111,5082,1995,1
1,448,194,42.38614141,-71.0782814,390,42.39648358,-71.0654676,3718,1996,1
1,319,330,42.38100143,-71.10402523,110,42.376369,-71.114025,2444,1994,1
1,914,48,42.35585436,-71.05459746,189,42.36242784,-71.08495474,2951,1989,2
1,763,182,42.36769018,-71.07116282,78,42.37967148,-71.0954931,2497,1992,2
1,727,20,42.35991176,-71.05142981,327,42.37487847,-71.06383499,5161,1952,1
1,964,228,42.36161932,-71.08043551,150,42.344137,-71.052608,4738,1981,1
1,1419,408,42.38717463,-71.08714389,78,42.37967148,-71.0954931,5398,1997,1
0,1072,200,42.332817,-71.081198,138,42.326599,-71.066498,5801,1969,0
1,991,428,42.36178741,-71.14393111,67,42.3581,-71.093198,4768,1996,1
1,918,82,42.3382668,-71.13894682,53,42.35082681,-71.08981088,5103,1988,2
1,586,12,42.33624445,-71.08798563,222,42.343749,-71.062256,5679,1998,1
1,121,446,42.34960945,-71.10391524,33,42.348706,-71.097009,2659,1995,1
1,657,342,42.34465063,-71.09732501,9,42.35169202,-71.11903489,3711,1997,2
1,919,84,42.366981,-71.076472,416,42.36435589,-71.06959369,4104,1962,1
0,1120,408,42.38717463,-71.08714389,107,42.3625,-71.08822,2653,1969,0
1,285,22,42.352175,-71.055547,150,42.344137,-71.052608,4199,1992,1
1,593,80,42.36213123,-71.09115601,144,42.36575798,-71.07699394,4182,1985,1
1,97,177,42.36264779,-71.10006094,178,42.3595732,-71.10129476,2304,1991,1
1,459,46,42.34366582,-71.08582377,16,42.34807412,-71.07657015,4446,1959,1
1,503,53,42.35082681,-71.08981088,107,42.3625,-71.08822,2261,1998,2
1,521,107,42.3625,-71.08822,178,42.3595732,-71.10129476,3195,1992,2
1,875,335,42.36599433,-71.09522222,190,42.365673,-71.064263,4704,1974,1
1,1050,162,42.309796,-71.092225,14,42.33741748,-71.10286117,5826,1986,2
1,329,116,42.370803,-71.104412,75,42.36346469,-71.10057324,4087,1992,1
1,1802,226,42.35154735,-71.12126246,226,42.35154735,-71.12126246,5822,1997,1
1,299,108,42.377945,-71.116865,377,42.37927325,-71.10341903,4761,1993,2
1,723,98,42.371848,-71.060292,98,42.371848,-71.060292,2063,1973,1
1,544,6,42.36121165,-71.0653062,91,42.366277,-71.09169,5770,1994,1
1,1656,183,42.39558846,-71.14260614,189,42.36242784,-71.08495474,2431,1955,1
1,645,361,42.34924377,-71.0972821,67,42.3581,-71.093198,5236,2000,2
1,259,13,42.33639915,-71.07306711,412,42.34303291,-71.0668873,5432,1990,1
1,579,20,42.35991176,-71.05142981,345,42.35182807,-71.06781138,4878,1976,1
1,381,107,42.3625,-71.08822,437,42.37207658,-71.08995434,4676,1992,2
