material_id	avg_cost	ctr	cvr	ecpm	deep_convert_rate	pay_rate	first_day_roi	valid_play_rate	finish_play_rate	label_ids	v_resolution_id	duration	r_frame_rate	display_type	path
161350	178.274500000	0.0073	0.0370	0.0003	0.0008	0.0950	0.142978170	0.1091	0.0566	195,674,201,665,244,205,207,209,221,213,317,305,302,265,270,337	4	37	30	vertical	video/20210906/5ae6e07ea8bb51818be9aab9378c969f.mp4
161357	48.162000000	0.0103	0.0097	0.0001	0.0000		0.000000000	0.0869	0.0756	352,356,358,360,362,364,384,382,370,372,472,420,456,438,475	4	33	25	vertical	video/20210907/d579ce9e781d01dc567b9473493c3c0f.mp4
161359	282.353571428	0.0184	0.0080	0.0001	0.0004	0.0297	0.005312488			352,356,358,360,362,364,384,382,370,372,472,420,456,438,475	2	33	25	horizontal	video/20210907/d5297e31cd213486f53bdec2de2ef507.mp4
161360	91.103333333	0.0054	0.0023	0.0000	0.0000		0.000000000	0.0374	0.0425	352,356,358,360,362,364,384,368,370,372,468,420,456,438,475	4	28	25	vertical	video/20210907/a2fff64521077af5a4f4b03deaf2db94.mp4
161364	76.373142857	0.0098	0.0033	0.0000	0.0000	0.0000	0.000000000			352,356,358,360,362,364,384,368,370,372,468,420,456,438,475	2	28	25	horizontal	video/20210907/eae763cdb570f3cfdd00f1df602b45a9.mp4
161366	127.716363636	0.0057	0.0000	0.0000	0.0000		0.000000000	0.0715	0.0608	352,356,358,360,362,364,384,368,370,372,468,420,456,438,475	4	29	25	vertical	video/20210907/25396c2892696b82e79a5110805b7029.mp4
161368	109.055444444	0.0080	0.0153	0.0001	0.0000	0.0708	0.000611310			352,356,358,360,362,364,384,368,370,372,468,420,456,438,475	2	29	25	horizontal	video/20210907/2dcbc6d8d23c05c013d663bc2e4f2a61.mp4
161375	57.748260869	0.0055	0.0051	0.0000	0.0000		0.000000000	0.0570	0.0489	352,356,358,360,362,364,384,368,370,372,468,420,456,438,475	4	24	25	vertical	video/20210907/0def3c04b38a34f7d1e2af72c067677d.mp4
161377	119.965277777	0.0153	0.0030	0.0000	0.0000	0.0618	0.000926194			352,356,358,360,362,364,384,368,370,372,468,420,456,438,475	2	24	25	horizontal	video/20210907/b0bf7b956c494d2fc7a5dc3f16c020fa.mp4
161383	151.261428571	0.0062	0.0000	0.0000	0.0000		0.000000000	0.1020	0.0659	697,356,358,398,362,364,366,381,370,372,471,459,455,425,475	4	25	25	vertical	video/20210907/d4bd5fca9a4c1ca5a704994747fb4991.mp4
161384	69.787500000	0.0117	0.0218	0.0003	0.0000		0.000000000			697,356,358,398,362,364,366,381,370,372,471,459,455,425,475	2	25	25	horizontal	video/20210907/b49e63745a38c0b1bd5508e5b271c36f.mp4
161385	110.482000000	0.0068	0.0074	0.0001	0.0000		0.000000000	0.0500	0.0334	697,356,358,398,362,364,366,368,370,372,471,459,455,428,475	4	27	25	vertical	video/20210907/4c61dfa05f442d0c62ba6677c24eae6c.mp4
161386	45.222000000	0.0253	0.0145	0.0004	0.0000		0.000000000	0.0022	0.0119	352,356,358,362,401,364,366,370,368,373,472,464,453,424,475	4	28	25	vertical	video/20210907/4f5ce6e7f019e28c1fb593b4b496870c.mp4
161389	416.894000000	0.0145	0.0408	0.0006	0.0000	0.0123	0.000959477			352,356,358,360,362,364,366,368,370,372,472,420,456,452,429,477,490	2	24	25	horizontal	video/20210907/c32da6226df3c0bd43d91ae1f6a94ce8.mp4
161391	402.566666666	0.0040	0.0034	0.0000	0.0000	0.1111	0.009484595	0.0494	0.0238	352,356,358,360,362,364,366,368,370,372,472,420,456,452,429,477,490	4	24	25	vertical	video/20210907/458847e8a7e9c3660ec44fba215eadb0.mp4
161393	101.636181818	0.0046	0.0141	0.0001	0.0000	0.0270	0.013237949	0.0381	0.0244	352,356,358,360,362,364,366,368,370,372,472,420,456,452,429,477,490	4	24	25	vertical	video/20210907/89a8e51b8eed6fd381b7d6aa89a291dc.mp4
161395	35.475638888	0.0003				0.0789	0.170696166	0.1514		195,199,201,665,205,207,209,221,220,315,306,300,292,270,330,337	4	29	30	vertical	video/20210907/029e2973eaa9a95ffbc4188fa5c49a80.mp4
